Word,Button
Jump,L
Shan,M
Hike,L
Heke,M
Posh,L
Lick,L
Zoge,M
Vunn,M
Deer,R
Ploy,L
Snun,M
Lamb,R
Droy,M
Pace,L
Crab,R
Psym,M
Seal,R
Pemp,M
Push,L
Need,L
